param :	Ob:		PDa		QDa		PDb		QDb		PDc		QDc		Tipo	Nivel_b		alfa_a	alfa_b	alfa_c	beta_a	beta_b	beta_c:=	
888	    0.0000  0.0000  0.0000  0.0000	0.0000	0.0000	1	1	0.00	0.00	0.00	0.00	0.00	0.00
4	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	1	0.00	0.00	0.00	0.00	0.00	0.00
400	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	2	0.00	0.00	0.00	0.00	0.00	0.00
401	    1.9400  0.6208  2.0370  0.6402  1.7460	0.5626	0	2	0.72	0.72	0.72	2.96	2.96	2.96
402	    1.7460  0.5626  1.9400  0.6208  1.4550	0.4656	0	2	0.72	0.72	0.72	2.96	2.96	2.96
403	    0.0000  0.0000  1.1640  0.3686  1.3580	0.4268	0	2	0.72	0.72	0.72	2.96	2.96	2.96
404	    1.9400  0.6208	2.0370  0.6402	1.7460	0.5626	0	2	0.72	0.72	0.72	2.96	2.96	2.96
405	    1.7460	0.5626	1.9400	0.6208	1.4550	0.4656	0	2	0.72	0.72	0.72	2.96	2.96	2.96
406	    1.2610	0.4074	0.0000	0.0000	1.3580	0.4268	0	2	0.72	0.72	0.72	2.96	2.96	2.96
407	    1.9400	0.6208	2.0370	0.6402	1.7460	0.5626	0	2	0.72	0.72	0.72	2.96	2.96	2.96
408	    1.7460	0.5626	1.9400	0.6208	1.4550	0.4656	0	2	0.72	0.72	0.72	2.96	2.96	2.96
409	    1.0670	0.3492	1.4550	0.4656	0.0000	0.0000	0	2	0.72	0.72	0.72	2.96	2.96	2.96
410	    1.9400	0.6208	1.6490	0.5238	2.2310	0.6984	0	2	0.72	0.72	0.72	2.96	2.96	2.96
411	    1.9400	0.6208	2.0370	0.6402	1.7460	0.5626	0	2	0.72	0.72	0.72	2.96	2.96	2.96
412	    1.7460	0.5626	1.9400	0.6208	1.4550	0.4656	0	2	0.72	0.72	0.72	2.96	2.96	2.96
;

param :	Ol:		Raa			Xaa			Rbb			Xbb			Rcc			Xcc			Rab			Xab			Rac			Xac			Rbc			Xbc			Nivel_l		Imax :=
888	    4	    0.104564091	0.104368542	0.103547235	0.106136307	0.103985265	0.105369754	0.016433958	0.045203163	0.016660795	0.039227178	0.016160189	0.035910663 1	        3
4	    400	    0.025344000	0.069120000	0.025344000	0.069120000	0.025344000	0.069120000	0.025344000	0.069120000	0.025344000	0.069120000	0.025344000	0.069120000 999	        80
400	    401     0.053168182	0.053068750	0.052651136	0.053967614	0.052873864	0.053577841	0.008356250	0.022984659	0.008471591	0.019946023	0.008217045	0.018259659 2	        80
401	    402	    0.053168182	0.053068750	0.052651136	0.053967614	0.052873864	0.053577841	0.008356250	0.022984659	0.008471591	0.019946023	0.008217045	0.018259659 2	        80
402	    403	    0.053168182	0.053068750	0.052651136	0.053967614	0.052873864	0.053577841	0.008356250	0.022984659	0.008471591	0.019946023	0.008217045	0.018259659 2	        80
403	    404	    0.053168182	0.053068750	0.052651136	0.053967614	0.052873864	0.053577841	0.008356250	0.022984659	0.008471591	0.019946023	0.008217045	0.018259659 2	        80
404	    405	    0.053168182	0.053068750	0.052651136	0.053967614	0.052873864	0.053577841	0.008356250	0.022984659	0.008471591	0.019946023	0.008217045	0.018259659 2	        80
405	    406	    0.053168182	0.053068750	0.052651136	0.053967614	0.052873864	0.053577841	0.008356250	0.022984659	0.008471591	0.019946023	0.008217045	0.018259659 2	        80
406	    407	    0.053168182	0.053068750	0.052651136	0.053967614	0.052873864	0.053577841	0.008356250	0.022984659	0.008471591	0.019946023	0.008217045	0.018259659 2	        80
407	    408	    0.053168182	0.053068750	0.052651136	0.053967614	0.052873864	0.053577841	0.008356250	0.022984659	0.008471591	0.019946023	0.008217045	0.018259659 2	        80
407	    409	    0.037977273	0.037906250	0.037607955	0.038548295	0.037767045	0.038269886	0.005968750	0.016417614	0.006051136	0.014247159	0.005869318	0.013042614 2	        80
407	    410	    0.037977273	0.037906250	0.037607955	0.038548295	0.037767045	0.038269886	0.005968750	0.016417614	0.006051136	0.014247159	0.005869318	0.013042614 2	        80
406	    411	    0.037977273	0.037906250	0.037607955	0.038548295	0.037767045	0.038269886	0.005968750	0.016417614	0.006051136	0.014247159	0.005869318	0.013042614 2	        80
406	    412	    0.037977273	0.037906250	0.037607955	0.038548295	0.037767045	0.038269886	0.005968750	0.016417614	0.006051136	0.014247159	0.005869318	0.013042614 2	        80
;

param : Ot:   fdem   Tout   Irradiacao_sem_nuvem   tarifa_branca   tarifa_artigo:=
1	0.78	26.90   0.00	0.84   1.01    	
2	0.77	26.73   0.00	0.84   1.01    	
3	0.76	26.55   0.00	0.84   1.01    	
4	0.75	26.38   0.00	0.84   1.01    	
5	0.74	26.20   0.00	0.84   0.73    	
6	0.73	25.95   0.00	0.84   0.73    	
7	0.73	25.70   0.00	0.84   0.73    	
8	0.72	25.45   0.00	0.84   0.73    	
9	0.71	25.20   0.00	0.84   0.62    	
10	0.71	25.05   0.00	0.84   0.62    	
11	0.71	24.90   0.00	0.84   0.62    	
12	0.70	24.75   0.00	0.84   0.62    	
13	0.70	24.60   0.00	0.84   0.60    	
14	0.70	24.48   0.00	0.84   0.60    	
15	0.70	24.35   0.00	0.84   0.60    	
16	0.70	24.23   0.00	0.84   0.60    	
17	0.69	24.10   0.00	0.84   0.64    	
18	0.70	23.85   0.00	0.84   0.64    	
19	0.70	23.60   0.00	0.84   0.64    	
20	0.71	23.35   0.00	0.84   0.64    	
21	0.71	23.10   0.00	0.84   0.62    	
22	0.72	22.75   0.00	0.84   0.62    	
23	0.72	22.40   0.00	0.84   0.62    	
24	0.73	22.05   0.00	0.84   0.62    	
25	0.73	21.70   0.00	0.84   0.75    	
26	0.74	21.60   0.00	0.84   0.75    	
27	0.75	21.50   0.00	0.84   0.75    	
28	0.77	21.40   0.00	0.84   0.75    	
29	0.78	21.30   0.03	0.84   0.80    	
30	0.80	21.38   0.03	0.84   0.80    	
31	0.82	21.45   0.03	0.84   0.80    	
32	0.84	21.53   0.03	0.84   0.80    	
33	0.86	21.60   0.27	0.84   0.84    	
34	0.87	22.53   0.27	0.84   0.84    	
35	0.88	23.45   0.27	0.84   0.84    	
36	0.90	24.38   0.27	0.84   0.84    	
37	0.91	25.30   0.51	0.84   1.01    	
38	0.92	26.25   0.51	0.84   1.01    	
39	0.93	27.20   0.51	0.84   1.01    	
40	0.94	28.15   0.51	0.84   1.01    	
41	0.95	29.10   0.74	0.84   1.15    	
42	0.95	29.53   0.74	0.84   1.15    	
43	0.96	29.95   0.74	0.84   1.15    	
44	0.96	30.38   0.74	0.84   1.15    	
45	0.96	30.80   0.94	0.84   1.28    	
46	0.96	31.38   0.94	0.84   1.28    	
47	0.95	31.95   0.94	0.84   1.28    	
48	0.95	32.53   0.94	0.84   1.28    	
49	0.95	33.10   1.05	0.84   1.37    	
50	0.95	33.58   1.05	0.84   1.37    	
51	0.96	34.05   1.05	0.84   1.37    	
52	0.96	34.53   1.05	0.84   1.37    	
53	0.97	35.00   1.08	0.84   1.52    	
54	0.98	35.25   1.08	0.84   1.52    	
55	0.98	35.50   1.08	0.84   1.52    	
56	0.99	35.75   1.08	0.84   1.52    	
57	1.00	36.00   1.05	0.84   1.61    	
58	1.00	36.30   1.05	0.84   1.61    	
59	1.00	36.60   1.05	1.20   1.61    	
60	1.00	36.90   1.05	1.20   1.61    	
61	1.00	37.20   0.95	1.20   1.65    	
62	1.00	37.45   0.95	1.20   1.65    	
63	0.99	37.70   0.95	1.83   1.65    	
64	0.99	37.95   0.95	1.83   1.65    	
65	0.98	38.20   0.79	1.83   1.74    	
66	0.97	38.28   0.79	1.83   1.74    	
67	0.96	38.35   0.79	1.83   1.74    	
68	0.95	38.43   0.79	1.83   1.74    	
69	0.94	38.50   0.55	1.83   1.77    	
70	0.92	38.65   0.55	1.83   1.77    	
71	0.91	38.80   0.55	1.83   1.77    	
72	0.89	38.95   0.55	1.83   1.77    	
73	0.88	39.10   0.30	1.83   1.83    	
74	0.88	39.05   0.30	1.83   1.83    	
75	0.88	39.00   0.30	1.20   1.83    	
76	0.89	38.95   0.30	1.20   1.83    	
77	0.89	38.90   0.08	1.20   1.70    	
78	0.90	38.35   0.08	1.20   1.70    	
79	0.90	37.80   0.08	0.84   1.70    	
80	0.91	37.25   0.08	0.84   1.70    	
81	0.92	36.70   0.00	0.84   1.66    	
82	0.91	36.53   0.00	0.84   1.66    	
83	0.91	36.35   0.00	0.84   1.66    	
84	0.91	36.18   0.00	0.84   1.66    	
85	0.90	36.00   0.00	0.84   1.59    	
86	0.90	35.65   0.00	0.84   1.59    	
87	0.90	35.30   0.00	0.84   1.59    	
88	0.90	34.95   0.00	0.84   1.59    	
89	0.90	34.60   0.00	0.84   1.37    	
90	0.89	33.85   0.00	0.84   1.37    	
91	0.88	33.10   0.00	0.84   1.37    	
92	0.87	32.35   0.00	0.84   1.37    	
93	0.86	31.60   0.00	0.84   1.19    	
94	0.85	30.43   0.00	0.84   1.19    	
95	0.83	29.25   0.00	0.84   1.19    	
